Date,F.Y,QUARTER,P_NO,PAYMENT TYPE,TYPE OF PRODUCT,Quantity,Price,Amount,TYPE OF ACCESSORY/MOBILE
16-08-2018,2018-2019,2,P/M/A64,DEBIT,MOBILE,1,16455.36,16955.36,MIDRANGE PHONE
18-08-2018,2018-2019,2,P/M/A64,CREDIT,MOBILE,1,16455.36,16955.36,MIDRANGE PHONE
18-08-2018,2018-2019,2,P/M/A64,CREDIT,MOBILE,1,16455.36,16955.36,MIDRANGE PHONE
19-08-2018,2018-2019,2,P/M/A64,CASH,MOBILE,1,16455.36,16955.36,MIDRANGE PHONE
20-08-2018,2018-2019,2,P/M/A64,CREDIT,MOBILE,1,16455.36,16955.36,MIDRANGE PHONE
21-08-2018,2018-2019,2,P/M/A64,CASH,MOBILE,1,16455.36,16955.36,MIDRANGE PHONE
14-07-2019,2019-2020,2,P/M/A20,MOBILE PAYMENTS,MOBILE,1,16455.36,16955.36,MIDRANGE PHONE
27-08-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,16777.12,17277.12,MIDRANGE PHONE
29-09-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,16828.58,17328.58,MIDRANGE PHONE
06-07-2020,2020-2021,2,P/M/A11,CREDIT,MOBILE,1,16835.6,17335.6,MIDRANGE PHONE
03-07-2020,2020-2021,2,P/M/A9,CREDIT,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
04-07-2020,2020-2021,2,P/M/A9,DEBIT,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
05-07-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
08-07-2020,2020-2021,2,P/M/A9,DEBIT,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
09-07-2020,2020-2021,2,P/M/A9,DEBIT,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
09-07-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
10-07-2020,2020-2021,2,P/M/A9,CREDIT,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
24-07-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
27-07-2020,2020-2021,2,P/M/A9,CASH,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
28-07-2020,2020-2021,2,P/M/A9,CASH,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
31-07-2020,2020-2021,2,P/M/A9,CREDIT,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
31-07-2020,2020-2021,2,P/M/A9,CASH,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
05-08-2020,2020-2021,2,P/M/A9,DEBIT,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
05-08-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
17-08-2020,2020-2021,2,P/M/A9,CASH,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
18-08-2020,2020-2021,2,P/M/A9,DEBIT,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
20-08-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
25-08-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
28-08-2020,2020-2021,2,P/M/A9,DEBIT,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
31-08-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
31-08-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
08-09-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
20-08-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,17348.21,17848.21,MIDRANGE PHONE
01-07-2018,2018-2019,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
01-07-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
03-07-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
04-07-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
05-07-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
06-07-2019,2019-2020,2,P/M/A10,CASH,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
07-07-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
07-07-2019,2019-2020,2,P/M/A10,CASH,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
08-07-2019,2019-2020,2,P/M/A10,CASH,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
11-07-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
13-07-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
13-07-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
14-07-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
15-07-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
21-07-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
21-07-2019,2019-2020,2,P/M/A10,CASH,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
21-07-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
23-07-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
24-07-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
25-07-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
25-07-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
27-07-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
29-07-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
31-07-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
02-08-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
04-08-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
04-08-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
04-08-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
08-08-2019,2019-2020,2,P/M/A10,CASH,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
10-08-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
11-08-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
11-08-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
11-08-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
15-08-2019,2019-2020,2,P/M/A10,CASH,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
16-08-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
18-08-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
18-08-2019,2019-2020,2,P/M/A10,CASH,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
23-08-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
23-08-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
23-08-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
03-09-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
05-07-2020,2020-2021,2,P/M/A11,DEBIT,MOBILE,1,17355.93,17855.93,MIDRANGE PHONE
05-07-2020,2020-2021,2,P/M/A11,MOBILE PAYMENTS,MOBILE,1,17355.94,17855.94,MIDRANGE PHONE
30-07-2020,2020-2021,2,P/M/A11,CREDIT,MOBILE,1,17355.94,17855.94,MIDRANGE PHONE
28-07-2019,2019-2020,2,P/M/A71,CASH,MOBILE,1,17794.64,18294.64,MIDRANGE PHONE
08-09-2019,2019-2020,2,P/M/A71,DEBIT,MOBILE,1,17794.64,18294.64,MIDRANGE PHONE
01-07-2020,2020-2021,2,P/M/A9,DEBIT,MOBILE,1,18143.22,18643.22,MIDRANGE PHONE
03-07-2020,2020-2021,2,P/M/A9,CASH,MOBILE,1,18143.22,18643.22,MIDRANGE PHONE
08-07-2020,2020-2021,2,P/M/A9,CREDIT,MOBILE,1,18143.22,18643.22,MIDRANGE PHONE
09-07-2020,2020-2021,2,P/M/A9,MOBILE PAYMENTS,MOBILE,1,18143.22,18643.22,MIDRANGE PHONE
13-07-2020,2020-2021,2,P/M/A9,CREDIT,MOBILE,1,18143.22,18643.22,MIDRANGE PHONE
04-08-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
08-08-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
11-08-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
15-08-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
17-08-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
01-09-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
09-09-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
09-09-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
10-09-2019,2019-2020,2,P/M/A10,DEBIT,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
17-09-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
23-09-2019,2019-2020,2,P/M/A10,CASH,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
24-09-2019,2019-2020,2,P/M/A10,CREDIT,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
30-09-2019,2019-2020,2,P/M/A10,MOBILE PAYMENTS,MOBILE,1,18687.5,19187.5,MIDRANGE PHONE
26-07-2019,2019-2020,2,P/M/A22,MOBILE PAYMENTS,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
26-07-2019,2019-2020,2,P/M/A22,CASH,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
26-07-2019,2019-2020,2,P/M/A22,CREDIT,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
26-07-2019,2019-2020,2,P/M/A22,DEBIT,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
27-07-2019,2019-2020,2,P/M/A22,CREDIT,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
28-07-2019,2019-2020,2,P/M/A22,DEBIT,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
28-07-2019,2019-2020,2,P/M/A22,DEBIT,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
28-07-2019,2019-2020,2,P/M/A22,CASH,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
29-07-2019,2019-2020,2,P/M/A22,MOBILE PAYMENTS,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
29-07-2019,2019-2020,2,P/M/A22,CREDIT,MOBILE,1,18964.29,19464.29,MIDRANGE PHONE
15-07-2020,2020-2021,2,P/M/A12,DEBIT,MOBILE,1,18990.68,19490.68,MIDRANGE PHONE
01-07-2019,2019-2020,2,P/A/34,DEBIT,ACCESSORY,1,5855.08,6355.08,COVER
01-07-2019,2019-2020,2,P/A/41,MOBILE PAYMENTS,ACCESSORY,1,2254.24,2754.24,POWER BANK
01-07-2019,2019-2020,2,P/A/47,CREDIT,ACCESSORY,1,1449.16,1949.16,WIRELESS HEADSET
01-07-2019,2019-2020,2,P/M/A1,CASH,MOBILE,1,6633.92,7133.92,BUDGET PHONE
01-07-2019,2019-2020,2,P/T/S10,DEBIT,TABLET,1,48567.8,49067.8,PREMIUM MIDRANGE TAB
02-07-2019,2019-2020,2,P/M/A23,DEBIT,MOBILE,2,750,2500,BUDGET PHONE
02-07-2019,2019-2020,2,P/M/A3,DEBIT,MOBILE,1,9758.92,10258.92,BUDGET PHONE
02-07-2019,2019-2020,2,P/M/A69,CASH,MOBILE,1,13784.82,14284.82,BUDGET PHONE
03-07-2019,2019-2020,2,P/A/22,MOBILE PAYMENTS,ACCESSORY,1,508.48,1008.48,CHARGER 
03-07-2019,2019-2020,2,P/A/26,CASH,ACCESSORY,1,2042.38,2542.38,CHARGER 
03-07-2019,2019-2020,2,P/A/44,MOBILE PAYMENTS,ACCESSORY,1,7966.1,8466.1,WIRELESS EARPHONES
03-07-2019,2019-2020,2,P/M/A3,MOBILE PAYMENTS,MOBILE,1,9758.92,10258.92,BUDGET PHONE
03-07-2019,2019-2020,2,P/M/A45,MOBILE PAYMENTS,MOBILE,1,59232.14,59732.14,FLAGSHIP PHONE
03-07-2019,2019-2020,2,P/M/A7,MOBILE PAYMENTS,MOBILE,1,13330.36,13830.36,BUDGET PHONE
04-07-2019,2019-2020,2,P/A/50,MOBILE PAYMENTS,ACCESSORY,1,2296.62,2796.62,WIRELESS HEADSET
04-07-2019,2019-2020,2,P/M/A1,MOBILE PAYMENTS,MOBILE,1,6633.92,7133.92,BUDGET PHONE
17-09-2020,2020-2021,2,P/M/A12,CREDIT,MOBILE,1,18991.52,19491.52,MIDRANGE PHONE
04-07-2019,2019-2020,2,P/M/A46,MOBILE PAYMENTS,MOBILE,1,65482.14,65982.14,FLAGSHIP PHONE
05-07-2019,2019-2020,2,P/A/1,MOBILE PAYMENTS,ACCESSORY,1,20677.96,21177.96,GALAXY WATCH
05-07-2019,2019-2020,2,P/A/44,CASH,ACCESSORY,1,7966.1,8466.1,WIRELESS EARPHONES
05-07-2019,2019-2020,2,P/M/A3,MOBILE PAYMENTS,MOBILE,1,9758.92,10258.92,BUDGET PHONE
05-07-2019,2019-2020,2,P/M/A3,CASH,MOBILE,1,9758.92,10258.92,BUDGET PHONE
05-07-2019,2019-2020,2,P/M/A3,CREDIT,MOBILE,1,9758.92,10258.92,BUDGET PHONE
05-07-2019,2019-2020,2,P/M/A46,MOBILE PAYMENTS,MOBILE,1,65482.14,65982.14,FLAGSHIP PHONE
05-07-2019,2019-2020,2,P/M/A7,DEBIT,MOBILE,1,13330.36,13830.36,BUDGET PHONE
30-08-2018,2018-2019,2,P/M/A14,DEBIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
06-07-2019,2019-2020,2,P/M/A7,CREDIT,MOBILE,1,13330.36,13830.36,BUDGET PHONE
07-07-2019,2019-2020,2,P/A/47,MOBILE PAYMENTS,ACCESSORY,1,1449.16,1949.16,WIRELESS HEADSET
07-07-2019,2019-2020,2,P/M/A1,MOBILE PAYMENTS,MOBILE,1,6633.92,7133.92,BUDGET PHONE
30-08-2018,2018-2019,2,P/M/A14,DEBIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
02-09-2018,2018-2019,2,P/M/A14,DEBIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
02-09-2018,2018-2019,2,P/M/A14,CREDIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
02-09-2018,2018-2019,2,P/M/A14,MOBILE PAYMENTS,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
06-09-2018,2018-2019,2,P/M/A14,CREDIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
07-09-2018,2018-2019,2,P/M/A14,MOBILE PAYMENTS,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
08-09-2018,2018-2019,2,P/M/A14,CREDIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
09-09-2018,2018-2019,2,P/M/A14,CREDIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
09-07-2019,2019-2020,2,P/M/A23,MOBILE PAYMENTS,MOBILE,1,750,1250,BUDGET PHONE
09-07-2019,2019-2020,2,P/M/A23,CREDIT,MOBILE,1,794.64,1294.64,BUDGET PHONE
09-07-2019,2019-2020,2,P/M/A3,DEBIT,MOBILE,1,9758.92,10258.92,BUDGET PHONE
09-07-2019,2019-2020,2,P/M/A3,CASH,MOBILE,1,9758.92,10258.92,BUDGET PHONE
09-07-2019,2019-2020,2,P/M/A3,MOBILE PAYMENTS,MOBILE,1,9758.92,10258.92,BUDGET PHONE
09-07-2019,2019-2020,2,P/M/A3,CASH,MOBILE,1,9758.92,10258.92,BUDGET PHONE
10-07-2019,2019-2020,2,P/A/3,MOBILE PAYMENTS,ACCESSORY,1,24915.26,25415.26,GALAXY WATCH
10-07-2019,2019-2020,2,P/A/3,MOBILE PAYMENTS,ACCESSORY,1,24915.26,25415.26,GALAXY WATCH
20-09-2018,2018-2019,2,P/M/A14,MOBILE PAYMENTS,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
20-09-2018,2018-2019,2,P/M/A14,MOBILE PAYMENTS,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
10-07-2019,2019-2020,2,P/M/A24,CREDIT,MOBILE,1,883.92,1383.92,BUDGET PHONE
10-07-2019,2019-2020,2,P/M/A25,CASH,MOBILE,1,1285.72,1785.72,BUDGET PHONE
10-07-2019,2019-2020,2,P/M/A3,MOBILE PAYMENTS,MOBILE,1,9758.92,10258.92,BUDGET PHONE
10-07-2019,2019-2020,2,P/M/A7,DEBIT,MOBILE,1,13330.36,13830.36,BUDGET PHONE
11-07-2019,2019-2020,2,P/A/47,CREDIT,ACCESSORY,1,1491.52,1991.52,WIRELESS HEADSET
21-09-2018,2018-2019,2,P/M/A14,CREDIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
21-09-2018,2018-2019,2,P/M/A14,DEBIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
11-07-2019,2019-2020,2,P/M/A3,MOBILE PAYMENTS,MOBILE,1,9758.92,10258.92,BUDGET PHONE
11-07-2019,2019-2020,2,P/M/A45,CREDIT,MOBILE,1,58339.28,58839.28,FLAGSHIP PHONE
23-09-2018,2018-2019,2,P/M/A14,CREDIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
12-07-2019,2019-2020,2,P/M/A3,MOBILE PAYMENTS,MOBILE,1,9758.92,10258.92,BUDGET PHONE
12-07-2019,2019-2020,2,P/M/A45,DEBIT,MOBILE,1,59232.14,59732.14,FLAGSHIP PHONE
12-07-2019,2019-2020,2,P/M/A7,DEBIT,MOBILE,1,13330.36,13830.36,BUDGET PHONE
13-07-2019,2019-2020,2,P/A/21,CASH,ACCESSORY,1,508.48,1008.48,CHARGER 
13-07-2019,2019-2020,2,P/A/22,CASH,ACCESSORY,1,508.48,1008.48,CHARGER 
13-07-2019,2019-2020,2,P/A/3,CASH,ACCESSORY,1,24915.26,25415.26,GALAXY WATCH
13-07-2019,2019-2020,2,P/M/A1,MOBILE PAYMENTS,MOBILE,1,6633.92,7133.92,BUDGET PHONE
13-07-2019,2019-2020,2,P/M/A1,CASH,MOBILE,1,6633.92,7133.92,BUDGET PHONE
28-09-2018,2018-2019,2,P/M/A14,MOBILE PAYMENTS,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
13-07-2019,2019-2020,2,P/M/A23,CREDIT,MOBILE,1,750,1250,BUDGET PHONE
13-07-2019,2019-2020,2,P/M/A3,MOBILE PAYMENTS,MOBILE,1,9758.92,10258.92,BUDGET PHONE
13-07-2019,2019-2020,2,P/M/A7,MOBILE PAYMENTS,MOBILE,1,13330.36,13830.36,BUDGET PHONE
13-07-2019,2019-2020,2,P/T/S1,CASH,TABLET,1,7550.84,8050.84,BUDGET TABLET
14-07-2019,2019-2020,2,P/A/21,CREDIT,ACCESSORY,1,508.48,1008.48,CHARGER 
14-07-2019,2019-2020,2,P/A/47,MOBILE PAYMENTS,ACCESSORY,1,1533.9,2033.9,WIRELESS HEADSET
14-07-2019,2019-2020,2,P/A/50,MOBILE PAYMENTS,ACCESSORY,1,2296.62,2796.62,WIRELESS HEADSET
14-07-2019,2019-2020,2,P/M/A1,MOBILE PAYMENTS,MOBILE,1,6633.92,7133.92,BUDGET PHONE
14-07-2019,2019-2020,2,P/M/A45,DEBIT,MOBILE,1,59232.14,59732.14,FLAGSHIP PHONE
14-07-2019,2019-2020,2,P/M/A7,CASH,MOBILE,1,13330.36,13830.36,BUDGET PHONE
14-07-2019,2019-2020,2,P/M/A7,MOBILE PAYMENTS,MOBILE,1,13330.36,13830.36,BUDGET PHONE
14-07-2019,2019-2020,2,P/M/A7,CASH,MOBILE,1,13330.36,13830.36,BUDGET PHONE
14-07-2019,2019-2020,2,P/M/A7,CASH,MOBILE,1,13330.36,13830.36,BUDGET PHONE
15-07-2019,2019-2020,2,P/M/A7,MOBILE PAYMENTS,MOBILE,1,13330.36,13830.36,BUDGET PHONE
16-07-2019,2019-2020,2,P/M/A1,CASH,MOBILE,1,6633.92,7133.92,BUDGET PHONE
16-07-2019,2019-2020,2,P/M/A24,CASH,MOBILE,1,928.58,1428.58,BUDGET PHONE
16-07-2019,2019-2020,2,P/M/A3,DEBIT,MOBILE,1,9758.92,10258.92,BUDGET PHONE
16-07-2019,2019-2020,2,P/M/A3,CASH,MOBILE,1,9758.92,10258.92,BUDGET PHONE
16-07-2019,2019-2020,2,P/M/A6,CREDIT,MOBILE,1,4223.22,4723.22,BUDGET PHONE
16-07-2019,2019-2020,2,P/M/A6,CASH,MOBILE,1,4130.36,4630.36,BUDGET PHONE
16-07-2019,2019-2020,2,P/M/A7,MOBILE PAYMENTS,MOBILE,1,13330.36,13830.36,BUDGET PHONE
17-07-2019,2019-2020,2,P/M/A21,MOBILE PAYMENTS,MOBILE,1,42348.22,42848.22,PREMIUM MIDRANGE PHONE
17-07-2019,2019-2020,2,P/M/A7,MOBILE PAYMENTS,MOBILE,1,13330.36,13830.36,BUDGET PHONE
18-07-2019,2019-2020,2,P/A/35,CASH,ACCESSORY,1,1364.4,1864.4,COVER
18-07-2019,2019-2020,2,P/M/A1,DEBIT,MOBILE,1,6633.93,7133.93,BUDGET PHONE
18-07-2019,2019-2020,2,P/M/A1,DEBIT,MOBILE,1,6633.92,7133.92,BUDGET PHONE
19-07-2019,2019-2020,2,P/A/47,DEBIT,ACCESSORY,1,1618.64,2118.64,WIRELESS HEADSET
19-07-2019,2019-2020,2,P/A/50,DEBIT,ACCESSORY,1,2338.98,2838.98,WIRELESS HEADSET
19-07-2019,2019-2020,2,P/M/A7,CASH,MOBILE,1,13330.36,13830.36,BUDGET PHONE
19-07-2019,2019-2020,2,P/M/A7,CREDIT,MOBILE,1,13330.36,13830.36,BUDGET PHONE
20-07-2019,2019-2020,2,P/M/A1,CASH,MOBILE,1,6633.92,7133.92,BUDGET PHONE
20-07-2019,2019-2020,2,P/M/A45,MOBILE PAYMENTS,MOBILE,1,59232.14,59732.14,FLAGSHIP PHONE
21-07-2019,2019-2020,2,P/M/A22,MOBILE PAYMENTS,MOBILE,1,29848.22,30348.22,PREMIUM MIDRANGE PHONE
21-07-2019,2019-2020,2,P/M/A3,DEBIT,MOBILE,1,9758.92,10258.92,BUDGET PHONE
21-07-2019,2019-2020,2,P/M/A3,MOBILE PAYMENTS,MOBILE,1,9758.92,10258.92,BUDGET PHONE
21-07-2019,2019-2020,2,P/M/A3,DEBIT,MOBILE,1,9758.92,10258.92,BUDGET PHONE
21-07-2019,2019-2020,2,P/M/A7,CREDIT,MOBILE,1,13330.36,13830.36,BUDGET PHONE
21-07-2019,2019-2020,2,P/M/A7,CASH,MOBILE,1,13330.36,13830.36,BUDGET PHONE
21-07-2019,2019-2020,2,P/M/A7,CASH,MOBILE,1,13330.36,13830.36,BUDGET PHONE
22-07-2019,2019-2020,2,P/A/35,CASH,ACCESSORY,1,2211.86,2711.86,COVER
22-07-2019,2019-2020,2,P/A/44,CREDIT,ACCESSORY,1,7966.1,8466.1,WIRELESS EARPHONES
22-07-2019,2019-2020,2,P/M/A23,DEBIT,MOBILE,1,750,1250,BUDGET PHONE
22-07-2019,2019-2020,2,P/M/A3,MOBILE PAYMENTS,MOBILE,1,9758.92,10258.92,BUDGET PHONE
22-07-2019,2019-2020,2,P/M/A7,CASH,MOBILE,1,13330.36,13830.36,BUDGET PHONE
22-07-2019,2019-2020,2,P/M/A7,CREDIT,MOBILE,1,13330.36,13830.36,BUDGET PHONE
23-07-2019,2019-2020,2,P/A/47,MOBILE PAYMENTS,ACCESSORY,1,1322.04,1822.04,WIRELESS HEADSET
23-07-2019,2019-2020,2,P/M/A1,MOBILE PAYMENTS,MOBILE,1,6633.92,7133.92,BUDGET PHONE
24-07-2019,2019-2020,2,P/A/7,CREDIT,ACCESSORY,1,1618.64,2118.64,GALAXY WATCH
25-07-2019,2019-2020,2,P/A/47,CASH,ACCESSORY,1,1618.64,2118.64,WIRELESS HEADSET
25-07-2019,2019-2020,2,P/M/A24,DEBIT,MOBILE,1,982.14,1482.14,BUDGET PHONE
25-07-2019,2019-2020,2,P/M/A7,CASH,MOBILE,1,13330.36,13830.36,BUDGET PHONE
26-07-2019,2019-2020,2,P/M/A1,CREDIT,MOBILE,1,6633.92,7133.92,BUDGET PHONE
26-07-2019,2019-2020,2,P/M/A3,DEBIT,MOBILE,1,9758.92,10258.92,BUDGET PHONE
26-07-2019,2019-2020,2,P/M/A7,DEBIT,MOBILE,1,13330.36,13830.36,BUDGET PHONE
27-07-2019,2019-2020,2,P/A/47,CASH,ACCESSORY,1,1618.64,2118.64,WIRELESS HEADSET
27-07-2019,2019-2020,2,P/M/A1,CASH,MOBILE,1,6633.92,7133.92,BUDGET PHONE
27-07-2019,2019-2020,2,P/M/A22,MOBILE PAYMENTS,MOBILE,1,32526.78,33026.78,PREMIUM MIDRANGE PHONE
27-07-2019,2019-2020,2,P/M/A7,DEBIT,MOBILE,1,13330.36,13830.36,BUDGET PHONE
28-07-2019,2019-2020,2,P/A/22,CASH,ACCESSORY,1,508.48,1008.48,CHARGER 
28-07-2019,2019-2020,2,P/A/41,DEBIT,ACCESSORY,1,2296.62,2796.62,POWER BANK
28-07-2019,2019-2020,2,P/A/44,CREDIT,ACCESSORY,1,7966.1,8466.1,WIRELESS EARPHONES
